URL,Size (bytes),Outgoing Links,Content Type
https://www.nytimes.com/,1048576,198,text/html
https://www.nytimes.com/2021/09/15/world/europe/pope-francis-biden-abortion.html,373498,49,text/html
https://www.nytimes.com/interactive/2021/us/florida-covid-cases.html,1048576,199,text/html
https://www.nytimes.com/2021/09/15/world/africa/Macron-Isis-Sahel-France.html,278110,44,text/html
https://www.nytimes.com/interactive/2020/us/covid-hospitals-near-you.html,307793,160,text/html
https://www.nytimes.com/interactive/2021/us/tennessee-covid-cases.html,1048576,199,text/html
https://www.nytimes.com/video,423303,52,text/html
https://www.nytimes.com/2021/09/15/sports/soccer/ibai-llanos-lionel-messi.html,410200,52,text/html
https://www.nytimes.com/sitemap/,128092,203,text/html
https://www.nytimes.com/interactive/2021/us/covid-cases.html,1048576,217,text/html
https://www.nytimes.com/2021/09/15/sports/olympics/fbi-hearing-larry-nassar-biles-maroney.html,486561,50,text/html
https://www.nytimes.com/2021/09/14/opinion/america-democracy-middle-east-tribalism.html,378187,53,text/html
https://www.nytimes.com/section/world,936122,108,text/html
https://www.nytimes.com/2021/09/15/opinion/delta-covid-economy.html,327902,61,text/html
https://www.nytimes.com/2021/09/12/opinion/yom-kippur-forgiveness.html,311653,46,text/html
https://www.nytimes.com/article/flash-flood-safety-survival.html,401374,68,text/html
https://www.nytimes.com/section/politics,764066,72,text/html
https://www.nytimes.com/2021/09/15/opinion/bolsonaro-brazil-independence-day.html,353914,75,text/html
https://www.nytimes.com/2021/09/15/nyregion/prince-andrew-epstein-lawsuit.html,304571,49,text/html
https://www.nytimes.com/section/health,798102,105,text/html
https://www.nytimes.com/puzzles/spelling-bee,53031,40,text/html
https://www.nytimes.com/section/realestate,611594,114,text/html
https://www.nytimes.com/international/?action=click&region=Editions&pgtype=Homepage,1048576,199,text/html
https://www.nytimes.com/privacy/cookie-policy,112115,40,text/html
https://www.nytimes.com/2021/09/03/opinion/ezra-klein-podcast-felicia-wong.html,953331,79,text/html
https://www.nytimes.com/2021/09/15/opinion/abortion-evangelicals-conservatives.html,524197,78,text/html
https://www.nytimes.com/2021/09/15/fashion/how-ibrahim-kamara-found-his-place-in-fashion.html,416313,53,text/html
https://www.nytimes.com/2021/09/10/books/review/podcast-sally-rooney-beautiful-world-brandon-taylor-david-rooney-about-time-clocks.html,380827,88,text/html
https://www.nytimes.com/interactive/2021/us/cdc-mask-guidance-states.html,329711,152,text/html
https://www.nytimes.com/wirecutter/blog/old-socks-cured-my-insomnia/,125373,203,text/html
https://www.nytimes.com/puzzles/vertex,114088,42,text/html
https://www.nytimes.com/wirecutter/,382829,354,text/html
https://www.nytimes.com/vi-assets/static-assets/apple-touch-icon-28865b72953380a40aa43318108876cb.png,3148,0,image/png
https://www.nytimes.com/section/nyregion,723822,80,text/html
https://www.nytimes.com/2021/09/15/opinion/cryptocurrency-americans-free.html,344298,68,text/html
https://www.nytimes.com/2021/09/15/opinion/biden-spending-plan-welfare.html,337330,57,text/html
https://www.nytimes.com/2021/09/15/world/asia/sri-lanka-minister-abuse-prisoners.html,328055,47,text/html
https://www.nytimes.com/2021/09/14/magazine/calories-weight-age.html,340333,42,text/html
https://www.nytimes.com/section/opinion,537890,106,text/html
https://www.nytimes.com/vi-assets/static-assets/ios-iphone-114x144-080e7ec6514fdc62bcbb7966d9b257d2.png,2440,0,image/png
https://www.nytimes.com/2020/08/19/well/move/e-bike-safety-exercise.html,382221,46,text/html
https://www.nytimes.com/wirecutter/blog/apple-fall-2021-event/,176208,218,text/html
